date,vendor,battlefield_value,cvss_sum,epss_sum,cvss_avg,epss_avg,n_cves,bf_value_x1000
2025-01-23,ivanti,1.4662149999999998,181.0,0.16372,8.227272727272727,0.007441818181818182,22,1466.215
2025-01-23,microsoft,0.772007,1184.8,0.10181,7.31358024691358,0.0006284567901234568,162,772.007
2025-01-23,fortinet,0.414078,370.3,0.0484,7.121153846153846,0.0009307692307692308,52,414.078
2025-01-23,linux,0.290966,672.5,0.04757,6.113636363636363,0.00043245454545454544,110,290.966
2025-01-23,wavlink,0.27404,567.9,0.0298,9.15967741935484,0.0004806451612903226,62,274.04
2025-01-23,google,0.262336,606.4,0.03544,7.395121951219512,0.0004321951219512195,82,262.336
2025-01-23,oracle,0.230676,486.4,0.03862,5.860240963855421,0.00046530120481927715,83,230.676
2025-01-23,ibm,0.189841,359.3,0.02933,6.303508771929825,0.0005145614035087719,57,189.841
2025-01-23,aviatrix,0.1728,10.0,0.01728,10.0,0.01728,1,172.8
2025-01-23,code-projects,0.131332,222.0,0.0164,7.655172413793103,0.0005655172413793104,29,131.332
